# Posicion (mm) Radio medio (mm) Grosor (mm)
0.000	30.000	8.000
5.455	30.205	8.000
10.909	30.412	8.000
16.364	30.620	8.000
21.818	30.829	8.000
27.273	31.040	8.000
32.727	31.253	8.000
38.182	31.467	8.000
43.636	31.682	8.000
49.091	31.899	8.000
54.545	32.117	8.000
60.000	32.337	8.000
65.455	32.558	8.000
70.909	32.780	8.000
76.364	33.005	8.000
81.818	33.231	8.000
87.273	33.458	8.000
92.727	33.687	8.000
98.182	33.917	8.000
103.636	34.149	8.000
109.091	34.383	8.000
114.545	34.618	8.000
120.000	34.855	8.000
125.455	35.093	8.000
130.909	35.334	8.000
136.364	35.575	8.000
141.818	35.819	8.000
147.273	36.064	8.000
152.727	36.310	8.000
158.182	36.559	8.000
163.636	36.809	8.000
169.091	37.061	8.000
174.545	37.314	8.000
180.000	37.570	8.000
185.455	37.827	8.000
190.909	38.086	8.000
196.364	38.346	8.000
201.818	38.608	8.000
207.273	38.873	8.000
212.727	39.138	8.000
218.182	39.406	8.000
223.636	39.676	8.000
229.091	39.947	8.000
234.545	40.221	8.000
240.000	40.496	8.000
245.455	40.773	8.000
250.909	41.052	8.000
256.364	41.333	8.000
261.818	41.615	8.000
267.273	41.900	8.000
272.727	42.187	8.000
278.182	42.475	8.000
283.636	42.766	8.000
289.091	43.059	8.000
294.545	43.353	8.000
300.000	43.650	8.000
305.455	43.948	8.000
310.909	44.249	8.000
316.364	44.552	8.000
321.818	44.857	8.000
327.273	45.163	8.000
332.727	45.472	8.000
338.182	45.784	8.000
343.636	46.097	8.000
349.091	46.412	8.000
354.545	46.730	8.000
360.000	47.049	8.000
365.455	47.371	8.000
370.909	47.695	8.000
376.364	48.022	8.000
381.818	48.350	8.000
387.273	48.681	8.000
392.727	49.014	8.000
398.182	49.349	8.000
403.636	49.687	8.000
409.091	50.027	8.000
414.545	50.369	8.000
420.000	50.714	8.000
425.455	51.061	8.000
430.909	51.410	8.000
436.364	51.762	8.000
441.818	52.116	8.000
447.273	52.472	8.000
452.727	52.831	8.000
458.182	53.193	8.000
463.636	53.557	8.000
469.091	53.923	8.000
474.545	54.292	8.000
480.000	54.664	8.000
485.455	55.038	8.000
490.909	55.414	8.000
496.364	55.793	8.000
501.818	56.175	8.000
507.273	56.559	8.000
512.727	56.946	8.000
518.182	57.336	8.000
523.636	57.728	8.000
529.091	58.123	8.000
534.545	58.521	8.000
540.000	58.921	8.000

